epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.27558,1.65565,7.77137,0.01575,0.01235,0.05556,0.02148,0.01719,1.97276,4.18954,0.01865,2.352e-05,2.352e-05,2.352e-05
2,6.0362,1.89967,9.19303,0.0233,0.00202,0.11111,0.06056,0.04807,1.84726,4.15039,0.01741,5.23961e-05,5.23961e-05,5.23961e-05
3,6.8792,1.6402,7.73816,0.01983,0.00073,0.11111,0.05927,0.05262,1.76031,4.14503,0.01634,8.06901e-05,8.06901e-05,8.06901e-05
4,7.66827,1.51186,6.15397,0.0114,0.00036,0.11111,0.05736,0.05167,1.71809,4.13791,0.01641,0.000108402,0.000108402,0.000108402
5,8.56956,1.52601,8.0033,0.01382,0.0015,0.22222,0.07896,0.07497,1.61352,4.05865,0.01578,0.000135532,0.000135532,0.000135532
6,9.27834,1.48332,7.14366,0.01202,0.01578,0.25397,0.10385,0.08488,1.54914,4.06501,0.01411,0.000162079,0.000162079,0.000162079
7,10.0563,1.33657,7.29122,0.01443,0.00666,0.28571,0.20705,0.17437,1.39572,3.93031,0.01265,0.000188045,0.000188045,0.000188045
8,10.7267,1.45444,7.19951,0.01285,0.00439,0.28571,0.21532,0.17137,1.27558,3.89273,0.01146,0.000213428,0.000213428,0.000213428
9,11.6729,1.33615,6.55824,0.01125,0.00557,0.33333,0.18845,0.15602,1.18015,3.86879,0.01031,0.000238229,0.000238229,0.000238229
10,12.3757,1.53697,6.96474,0.01294,0.00573,0.44444,0.23461,0.18647,1.06549,3.81539,0.00901,0.000262449,0.000262449,0.000262449
11,13.0974,1.40721,7.27097,0.01352,0.00489,0.44444,0.30352,0.24053,1.03457,3.78885,0.00904,0.000286086,0.000286086,0.000286086
12,13.8719,1.34241,6.32055,0.01159,0.00442,0.44444,0.31918,0.25283,0.97212,3.75005,0.00851,0.00030914,0.00030914,0.00030914
13,14.7705,1.17489,7.67511,0.01238,0.00408,0.44444,0.32696,0.25091,0.9917,3.69429,0.00882,0.000331613,0.000331613,0.000331613
14,15.4332,1.41383,6.62772,0.01191,0.00408,0.44444,0.32696,0.25091,0.9917,3.69429,0.00882,0.000353504,0.000353504,0.000353504
15,16.1261,1.29782,6.59443,0.0107,0.00369,0.44444,0.30655,0.23254,1.03296,3.62826,0.00938,0.000374812,0.000374812,0.000374812
16,16.7726,1.20482,5.77534,0.01022,0.0034,0.44444,0.25596,0.20427,1.05492,3.53066,0.00995,0.000395539,0.000395539,0.000395539
17,17.6195,1.36194,6.87832,0.01233,0.59625,0.34338,0.26,0.20461,1.06598,3.38098,0.00947,0.000415683,0.000415683,0.000415683
18,18.3356,1.21707,6.0889,0.01033,0.59625,0.34338,0.26,0.20461,1.06598,3.38098,0.00947,0.000435245,0.000435245,0.000435245
19,18.9896,1.36979,5.97943,0.01064,0.79221,0.27778,0.30375,0.23923,1.117,3.19848,0.01014,0.000454225,0.000454225,0.000454225
20,19.7183,1.29881,5.44304,0.01202,0.79844,0.31047,0.3416,0.2827,1.14165,3.19745,0.01033,0.000472623,0.000472623,0.000472623
21,20.3995,1.3195,6.02018,0.01265,0.79844,0.31047,0.3416,0.2827,1.14165,3.19745,0.01033,0.000471576,0.000471576,0.000471576
22,21.0611,1.2751,5.62517,0.01068,0.79871,0.33333,0.37197,0.32096,1.20726,3.24663,0.01094,0.000465755,0.000465755,0.000465755
23,21.7878,1.19522,6.40261,0.0112,0.77988,0.33333,0.44054,0.34494,1.19221,3.1971,0.0106,0.000459934,0.000459934,0.000459934
24,22.4767,1.15638,5.95593,0.01075,0.77988,0.33333,0.44054,0.34494,1.19221,3.1971,0.0106,0.000454112,0.000454112,0.000454112
25,23.2528,1.21676,6.40617,0.0108,0.79519,0.34943,0.48719,0.36365,1.15588,3.07466,0.01071,0.000448291,0.000448291,0.000448291
26,23.9201,1.12595,6.06346,0.00863,0.79519,0.34943,0.48719,0.36365,1.15588,3.07466,0.01071,0.00044247,0.00044247,0.00044247
27,24.7022,1.3049,5.98709,0.01037,0.78229,0.44195,0.48163,0.37234,1.13526,3.00671,0.01058,0.000436649,0.000436649,0.000436649
28,25.3671,1.0484,6.98674,0.01195,0.74834,0.428,0.49097,0.3708,1.15498,3.21191,0.01059,0.000430828,0.000430828,0.000430828
29,26.0752,1.05965,5.81353,0.01007,0.74834,0.428,0.49097,0.3708,1.15498,3.21191,0.01059,0.000425006,0.000425006,0.000425006
30,26.8417,1.27391,5.9013,0.01115,0.7114,0.38889,0.47243,0.35318,1.12783,3.35881,0.01044,0.000419185,0.000419185,0.000419185
31,27.5801,1.02385,6.73521,0.01038,0.67429,0.41643,0.47017,0.33264,1.09738,3.79596,0.00992,0.000413364,0.000413364,0.000413364
32,28.3412,1.22356,5.63876,0.01048,0.67429,0.41643,0.47017,0.33264,1.09738,3.79596,0.00992,0.000407543,0.000407543,0.000407543
33,29.2693,1.12298,5.3684,0.0092,0.72566,0.38063,0.43747,0.31698,1.12846,3.98179,0.00992,0.000401722,0.000401722,0.000401722
