epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37251,1.87028,7.30506,0.01631,0.00385,0.31746,0.02511,0.01468,1.59979,5.05655,0.01653,2.352e-05,2.352e-05,2.352e-05
2,4.6671,1.86235,8.33215,0.01758,0.003,0.33333,0.03842,0.02111,1.72944,4.68995,0.01737,5.28152e-05,5.28152e-05,5.28152e-05
3,6.36025,1.63042,7.54202,0.0134,0.57135,0.12659,0.03657,0.02312,1.44092,4.60487,0.0141,8.1994e-05,8.1994e-05,8.1994e-05
4,8.15588,1.52123,7.46811,0.01262,0.56362,0.11111,0.06591,0.03857,1.43904,4.3466,0.01332,0.000111056,0.000111056,0.000111056
5,9.52884,1.38534,6.34739,0.01124,0.74554,0.22222,0.15563,0.10783,1.53966,4.24711,0.01423,0.000140002,0.000140002,0.000140002
6,11.0581,1.4528,6.49592,0.01043,0.94335,0.11111,0.14716,0.11692,1.55585,4.11123,0.01476,0.000168832,0.000168832,0.000168832
7,12.5757,1.20784,6.49549,0.01025,0.92801,0.11111,0.1323,0.10391,1.45764,4.12422,0.01377,0.000197545,0.000197545,0.000197545
8,13.803,1.45283,6.50954,0.01056,0.92801,0.11111,0.1323,0.10391,1.45764,4.12422,0.01377,0.000226142,0.000226142,0.000226142
9,15.2114,1.26215,5.57113,0.00864,0.85905,0.15873,0.28154,0.21832,1.57014,4.03598,0.01553,0.000254622,0.000254622,0.000254622
10,16.8086,1.34149,5.02999,0.00975,0.90419,0.26984,0.35333,0.24053,1.65809,4.30672,0.01625,0.000282986,0.000282986,0.000282986
11,18.2645,1.33429,5.12007,0.01011,0.90419,0.26984,0.35333,0.24053,1.65809,4.30672,0.01625,0.000311233,0.000311233,0.000311233
12,19.674,1.45585,6.18937,0.0113,0.90739,0.25338,0.38879,0.26313,1.53333,4.58218,0.01475,0.000339364,0.000339364,0.000339364
13,21.0114,1.29568,5.41646,0.01021,0.90739,0.25338,0.38879,0.26313,1.53333,4.58218,0.01475,0.000367379,0.000367379,0.000367379
14,22.3378,1.22569,4.56204,0.00938,0.90739,0.25338,0.38879,0.26313,1.53333,4.58218,0.01475,0.000395277,0.000395277,0.000395277
15,23.7082,1.17454,4.57862,0.00883,0.86718,0.25397,0.39124,0.30264,1.30668,3.8401,0.01246,0.000423058,0.000423058,0.000423058
16,25.0696,1.24938,4.59623,0.00816,0.86718,0.25397,0.39124,0.30264,1.30668,3.8401,0.01246,0.000450724,0.000450724,0.000450724
17,26.5131,1.24011,4.672,0.00924,0.86718,0.25397,0.39124,0.30264,1.30668,3.8401,0.01246,0.000478273,0.000478273,0.000478273
18,27.8991,1.14237,4.04245,0.01027,0.82405,0.25352,0.42507,0.37202,1.15863,3.65944,0.01045,0.000505705,0.000505705,0.000505705
19,29.3624,1.14365,4.14849,0.0097,0.82405,0.25352,0.42507,0.37202,1.15863,3.65944,0.01045,0.000533021,0.000533021,0.000533021
20,30.8568,1.10656,3.91312,0.00922,0.82405,0.25352,0.42507,0.37202,1.15863,3.65944,0.01045,0.000560221,0.000560221,0.000560221
21,32.4915,1.32688,4.1127,0.00978,0.92268,0.33333,0.47708,0.35024,1.29284,3.45908,0.01226,0.000564715,0.000564715,0.000564715
22,33.9753,1.1569,3.96044,0.00944,0.92268,0.33333,0.47708,0.35024,1.29284,3.45908,0.01226,0.000563551,0.000563551,0.000563551
23,35.4658,1.21221,3.82487,0.00891,0.92268,0.33333,0.47708,0.35024,1.29284,3.45908,0.01226,0.000562387,0.000562387,0.000562387
24,36.8147,1.17502,4.25124,0.01049,0.8951,0.32348,0.46375,0.37124,1.24128,2.94598,0.01178,0.000561222,0.000561222,0.000561222
25,38.1517,1.13504,3.02914,0.00721,0.8951,0.32348,0.46375,0.37124,1.24128,2.94598,0.01178,0.000560058,0.000560058,0.000560058
26,39.5027,1.11947,3.23007,0.00929,0.8951,0.32348,0.46375,0.37124,1.24128,2.94598,0.01178,0.000558894,0.000558894,0.000558894
27,40.9347,1.14049,3.58489,0.00884,0.85311,0.35557,0.53755,0.38347,1.09667,2.74557,0.00971,0.00055773,0.00055773,0.00055773
28,42.4503,1.0886,2.62031,0.008,0.85311,0.35557,0.53755,0.38347,1.09667,2.74557,0.00971,0.000556566,0.000556566,0.000556566
29,43.8613,1.10389,3.20329,0.00695,0.85311,0.35557,0.53755,0.38347,1.09667,2.74557,0.00971,0.000555401,0.000555401,0.000555401
30,45.355,1.12058,3.28946,0.00899,0.94783,0.32461,0.51253,0.37057,1.12777,2.28103,0.01013,0.000554237,0.000554237,0.000554237
31,46.7476,1.12099,2.71965,0.00807,0.94783,0.32461,0.51253,0.37057,1.12777,2.28103,0.01013,0.000553073,0.000553073,0.000553073
