epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63076,1.91204,10.1972,0.01964,0.00349,0.31746,0.02849,0.01264,1.83131,5.38537,0.0186,5.292e-05,5.292e-05,5.292e-05
2,5.30617,1.83631,11.4002,0.01662,0.48325,0.07143,0.05266,0.02541,1.66431,4.99488,0.01703,0.000110614,0.000110614,0.000110614
3,7.17705,1.51476,8.78852,0.01151,0.39436,0.14286,0.05037,0.02436,1.75713,5.12263,0.01801,0.000167144,0.000167144,0.000167144
4,8.88222,1.6997,10.5473,0.01508,0.71792,0.14286,0.11238,0.06688,1.43847,5.16158,0.01446,0.000222509,0.000222509,0.000222509
5,10.8569,1.49793,9.06737,0.01295,0.71792,0.14286,0.11238,0.06688,1.43847,5.16158,0.01446,0.00027671,0.00027671,0.00027671
6,12.7642,1.55707,8.41769,0.01096,0.79562,0.11111,0.1964,0.10754,1.37941,5.01247,0.01404,0.000329747,0.000329747,0.000329747
7,14.7526,1.3805,7.69603,0.01186,0.79562,0.11111,0.1964,0.10754,1.37941,5.01247,0.01404,0.00038162,0.00038162,0.00038162
8,16.7067,1.52524,6.94887,0.01232,0.99365,0.11111,0.17683,0.13386,1.13484,4.35218,0.0104,0.000432329,0.000432329,0.000432329
9,18.6566,1.42261,6.15692,0.00946,0.99365,0.11111,0.17683,0.13386,1.13484,4.35218,0.0104,0.000481873,0.000481873,0.000481873
10,20.5886,1.3159,6.65907,0.00926,0.99365,0.11111,0.17683,0.13386,1.13484,4.35218,0.0104,0.000530253,0.000530253,0.000530253
11,22.4106,1.24255,5.96252,0.00944,0.99365,0.11111,0.17683,0.13386,1.13484,4.35218,0.0104,0.000529788,0.000529788,0.000529788
12,24.2523,1.20324,5.83837,0.00865,1,0.11102,0.26566,0.21263,1.23231,3.91955,0.01127,0.000523967,0.000523967,0.000523967
13,25.976,1.29312,6.19037,0.01079,1,0.11102,0.26566,0.21263,1.23231,3.91955,0.01127,0.000518146,0.000518146,0.000518146
14,27.9445,1.19907,5.84083,0.0113,1,0.11102,0.26566,0.21263,1.23231,3.91955,0.01127,0.000512324,0.000512324,0.000512324
15,29.9178,1.19729,4.94647,0.00826,0.82357,0.24076,0.38073,0.24981,1.21002,3.26891,0.01246,0.000506503,0.000506503,0.000506503
16,31.7281,1.24524,5.36129,0.00965,0.82357,0.24076,0.38073,0.24981,1.21002,3.26891,0.01246,0.000500682,0.000500682,0.000500682
17,33.7447,1.20291,5.99576,0.01158,0.82357,0.24076,0.38073,0.24981,1.21002,3.26891,0.01246,0.000494861,0.000494861,0.000494861
18,35.5478,1.18877,5.51268,0.0097,0.88351,0.33048,0.52023,0.38279,1.16667,2.91121,0.01049,0.00048904,0.00048904,0.00048904
19,37.3237,1.23961,5.12195,0.01091,0.88351,0.33048,0.52023,0.38279,1.16667,2.91121,0.01049,0.000483218,0.000483218,0.000483218
20,39.1374,1.28129,5.10297,0.01029,0.88351,0.33048,0.52023,0.38279,1.16667,2.91121,0.01049,0.000477397,0.000477397,0.000477397
