epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67645,1.91396,11.426,0.01981,0.00389,0.35714,0.02478,0.00953,1.64923,6.03364,0.01673,1.176e-05,1.176e-05,1.176e-05
2,7.6575,2.23821,14.4281,0.01847,0.00539,0.42857,0.04364,0.01443,1.59805,5.74195,0.01599,2.90119e-05,2.90119e-05,2.90119e-05
3,9.87347,1.77927,15.2282,0.01635,0.27035,0.1746,0.06983,0.02167,1.51356,5.23094,0.01484,4.57981e-05,4.57981e-05,4.57981e-05
4,12.2035,1.83556,11.3222,0.01627,0.0271,0.33333,0.10141,0.03798,1.29997,4.7686,0.01241,6.21187e-05,6.21187e-05,6.21187e-05
5,14.5839,1.56787,12.3766,0.013,0.42064,0.15873,0.10497,0.03892,1.25975,4.68096,0.01215,7.79735e-05,7.79735e-05,7.79735e-05
6,16.96,1.5903,12.0432,0.013,0.54195,0.16647,0.2263,0.14786,1.24759,4.48171,0.01239,9.33626e-05,9.33626e-05,9.33626e-05
7,19.2295,1.47683,8.68105,0.01039,0.77314,0.25025,0.2538,0.18293,1.20563,4.33233,0.01176,0.000108286,0.000108286,0.000108286
8,21.4277,1.29355,8.89336,0.00977,0.59147,0.25397,0.20944,0.16911,1.25561,4.26083,0.01238,0.000122744,0.000122744,0.000122744
9,23.5007,1.20199,7.85881,0.00845,0.51961,0.25177,0.23736,0.18101,1.17943,4.1986,0.01147,0.000136736,0.000136736,0.000136736
10,25.8088,1.36998,7.88142,0.00979,0.57966,0.25264,0.26341,0.2047,1.14459,3.94066,0.01105,0.000150262,0.000150262,0.000150262
11,28.2794,1.29414,7.57224,0.00933,0.72813,0.25267,0.27258,0.20596,1.14744,3.99706,0.011,0.000163323,0.000163323,0.000163323
12,30.3949,1.26548,7.68347,0.00978,0.62178,0.25019,0.31938,0.25322,1.24639,3.65113,0.01162,0.000175918,0.000175918,0.000175918
