epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16557,2.06385,7.95622,0.0171,0.00403,0.31746,0.02695,0.01496,1.7003,5.43299,0.01798,1.764e-05,1.764e-05,1.764e-05
2,6.79832,1.60288,8.68256,0.01788,0.00352,0.34524,0.03321,0.01812,1.70882,5.0368,0.01767,4.0345e-05,4.0345e-05,4.0345e-05
3,8.56668,1.83559,8.93559,0.01583,0.45035,0.05612,0.03088,0.0156,1.53768,4.9576,0.01521,6.21187e-05,6.21187e-05,6.21187e-05
4,11.6118,1.26933,8.39857,0.01298,0.79519,0.11111,0.05327,0.03655,1.46405,4.74271,0.01416,8.29609e-05,8.29609e-05,8.29609e-05
5,14.9784,1.87894,6.89282,0.01247,0.92586,0.05556,0.06632,0.05048,1.45564,4.26674,0.01408,0.000102872,0.000102872,0.000102872
6,16.4359,1.3823,7.10387,0.0122,0.92688,0.05556,0.0676,0.05087,1.42856,4.28734,0.01384,0.000121851,0.000121851,0.000121851
7,17.9772,1.70927,6.38596,0.01218,1,0.09959,0.14201,0.11572,1.28337,4.2477,0.01236,0.000139899,0.000139899,0.000139899
8,19.4755,1.41354,5.8743,0.01156,1,0.1025,0.13419,0.10349,1.48863,4.12129,0.01459,0.000157016,0.000157016,0.000157016
9,20.918,1.36781,6.50055,0.01284,1,0.10937,0.13805,0.10318,1.51448,4.12964,0.01549,0.000173201,0.000173201,0.000173201
10,22.2141,1.40806,5.11568,0.01039,1,0.1095,0.24048,0.12575,1.46283,4.11006,0.0147,0.000188455,0.000188455,0.000188455
11,23.6016,0.96384,6.51165,0.0086,0.85129,0.10943,0.22815,0.11727,1.49369,3.98405,0.01522,0.000202778,0.000202778,0.000202778
12,25.0985,1.40444,5.37344,0.01066,0.98299,0.11111,0.14712,0.11998,1.46801,3.77046,0.01403,0.000216169,0.000216169,0.000216169
13,26.5625,1.22302,4.50385,0.00941,1,0.09531,0.27068,0.1693,1.26909,3.67379,0.01154,0.000228629,0.000228629,0.000228629
14,28.1344,1.12674,4.68784,0.0093,0.8172,0.22222,0.26873,0.21363,1.19337,3.51109,0.01058,0.000240157,0.000240157,0.000240157
15,29.6229,1.27615,4.10439,0.00778,0.83452,0.22222,0.25183,0.21099,1.28787,3.40994,0.01159,0.000250754,0.000250754,0.000250754
16,31.0086,1.0893,3.77433,0.00782,0.83452,0.22222,0.25183,0.21099,1.28787,3.40994,0.01159,0.000260419,0.000260419,0.000260419
17,32.4704,1.06708,4.12596,0.00958,0.97228,0.16667,0.28391,0.22401,1.27084,3.23175,0.01131,0.000269153,0.000269153,0.000269153
