epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.78965,1.78613,6.5521,0.01429,0,0,0,0,2.01922,4.19021,0.01914,5.88e-06,5.88e-06,5.88e-06
2,4.27661,1.60694,6.38873,0.01314,0.02778,0.05556,0.03458,0.02767,2.00261,4.19095,0.01927,1.72907e-05,1.72907e-05,1.72907e-05
3,4.77026,1.71225,6.35255,0.01437,0.00585,0.05556,0.02899,0.02319,1.95775,4.18804,0.01893,2.82358e-05,2.82358e-05,2.82358e-05
4,5.20345,1.6093,6.87648,0.01408,0.0039,0.11111,0.05827,0.04634,1.91545,4.21255,0.01863,3.87151e-05,3.87151e-05,3.87151e-05
5,5.71884,1.51813,6.05018,0.01247,0.00202,0.11111,0.05706,0.05099,1.81854,4.14228,0.01741,4.87287e-05,4.87287e-05,4.87287e-05
6,6.20168,1.64278,6.1327,0.0103,0.00128,0.11111,0.05785,0.05187,1.78726,4.14254,0.01705,5.82767e-05,5.82767e-05,5.82767e-05
7,6.66498,1.5137,6.3287,0.01282,0.00081,0.11111,0.058,0.05179,1.69916,4.14139,0.01609,6.73589e-05,6.73589e-05,6.73589e-05
8,7.131,1.54412,6.37733,0.01117,0.00054,0.11111,0.03279,0.02874,1.66128,4.11405,0.01579,7.59755e-05,7.59755e-05,7.59755e-05
9,7.60915,1.49752,6.10213,0.00895,0.0004,0.11111,0.06117,0.05414,1.65508,4.08676,0.0157,8.41263e-05,8.41263e-05,8.41263e-05
10,8.11193,1.34723,5.87197,0.00977,0.00032,0.11111,0.06194,0.0548,1.5692,4.1139,0.01407,9.18115e-05,9.18115e-05,9.18115e-05
11,8.57907,1.47822,5.77035,0.00941,0.00027,0.11111,0.05927,0.05312,1.55924,4.03086,0.01444,9.9031e-05,9.9031e-05,9.9031e-05
12,9.02482,1.31023,6.2798,0.01134,0.00359,0.22222,0.07387,0.06504,1.44105,4.01963,0.01277,0.000105785,0.000105785,0.000105785
13,9.50102,1.25162,5.88916,0.00954,0.00438,0.33333,0.11738,0.09883,1.37855,3.9905,0.0122,0.000112073,0.000112073,0.000112073
