epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99902,1.80519,7.11945,0.01637,0.02778,0.05556,0.03458,0.02767,2.02005,4.19194,0.01943,1.764e-05,1.764e-05,1.764e-05
2,5.64207,1.76124,6.87829,0.01553,0.00419,0.11111,0.03108,0.0254,1.95636,4.15744,0.0189,4.0345e-05,4.0345e-05,4.0345e-05
3,6.30556,1.39634,6.82473,0.01229,0.00111,0.11111,0.05837,0.05205,1.86846,4.11908,0.01802,6.21187e-05,6.21187e-05,6.21187e-05
4,7.03865,1.52284,7.29639,0.01385,0.00048,0.11111,0.05912,0.05258,1.73859,4.13879,0.01673,8.29609e-05,8.29609e-05,8.29609e-05
5,7.71297,1.49856,6.42966,0.01195,0.0003,0.11111,0.06355,0.057,1.559,4.09491,0.01487,0.000102872,0.000102872,0.000102872
6,8.32412,1.48569,6.22787,0.01167,0.00024,0.11111,0.06294,0.05717,1.51032,4.06111,0.01384,0.000121851,0.000121851,0.000121851
7,9.14501,1.51741,6.45899,0.01257,0.00858,0.2381,0.13135,0.11152,1.36947,3.99374,0.01192,0.000139899,0.000139899,0.000139899
8,9.77626,1.52606,6.63612,0.01451,0.01499,0.35714,0.10164,0.0853,1.34482,4.02331,0.0118,0.000157016,0.000157016,0.000157016
9,10.4001,1.29622,6.21218,0.01136,0.0114,0.4127,0.24905,0.20933,1.33068,3.99808,0.01194,0.000173201,0.000173201,0.000173201
10,11.1036,1.25664,6.24837,0.01081,0.00905,0.37302,0.22837,0.202,1.29209,3.95854,0.01124,0.000188455,0.000188455,0.000188455
11,11.7572,1.43638,6.90505,0.01397,0.00739,0.35714,0.22465,0.19372,1.26109,3.98356,0.01058,0.000202778,0.000202778,0.000202778
12,12.5536,1.38961,6.36064,0.0114,0.00776,0.37302,0.23817,0.20464,1.22507,3.97233,0.01,0.000216169,0.000216169,0.000216169
13,13.1531,1.29608,6.53615,0.00954,0.00787,0.42857,0.21316,0.17717,1.11953,3.99526,0.00914,0.000228629,0.000228629,0.000228629
14,13.7605,1.28648,6.40472,0.0121,0.00719,0.44444,0.21572,0.1835,1.09223,3.93224,0.00931,0.000240157,0.000240157,0.000240157
15,14.38,1.29545,5.82626,0.0105,0.00608,0.44444,0.20512,0.15875,1.13603,3.8638,0.01014,0.000250754,0.000250754,0.000250754
