epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.02811,1.86295,7.49663,0.01751,0.00403,0.31746,0.02588,0.01506,1.66525,5.53104,0.01735,5.88e-06,5.88e-06,5.88e-06
2,6.24631,2.06075,7.73019,0.01574,0.00389,0.31746,0.02546,0.01497,1.70782,5.34728,0.01793,1.72907e-05,1.72907e-05,1.72907e-05
3,7.22232,1.60108,7.30177,0.01305,0.00414,0.36111,0.02846,0.01461,1.64245,5.10592,0.01709,2.82358e-05,2.82358e-05,2.82358e-05
4,8.40786,1.69961,9.45097,0.02002,0.1462,0.26984,0.03241,0.01742,1.51787,5.06178,0.01454,3.87151e-05,3.87151e-05,3.87151e-05
5,9.70247,1.71322,6.37532,0.01236,0.57743,0.05556,0.05229,0.03692,1.34444,4.88719,0.01169,4.87287e-05,4.87287e-05,4.87287e-05
6,11.0946,1.37811,5.92991,0.00897,0.88629,0.11111,0.13065,0.11389,1.51297,4.4562,0.01394,5.82767e-05,5.82767e-05,5.82767e-05
7,12.4305,1.29231,6.02674,0.00967,0.96156,0.10692,0.11752,0.0994,1.5608,4.53295,0.0148,6.73589e-05,6.73589e-05,6.73589e-05
8,13.8309,1.51684,6.28192,0.00972,0.96235,0.11111,0.13788,0.11725,1.55833,4.33852,0.01477,7.59755e-05,7.59755e-05,7.59755e-05
9,15.1178,1.59168,7.90407,0.01744,0.96281,0.11066,0.15747,0.12966,1.56739,4.31026,0.01525,8.41263e-05,8.41263e-05,8.41263e-05
10,16.5706,1.0876,4.91651,0.00791,0.96078,0.11111,0.16468,0.1329,1.53666,4.24824,0.01493,9.18115e-05,9.18115e-05,9.18115e-05
11,17.9514,1.11258,5.65549,0.00872,0.95992,0.11111,0.14209,0.11434,1.57377,4.13483,0.01501,9.9031e-05,9.9031e-05,9.9031e-05
12,19.2189,1.39366,4.85384,0.00844,0.95979,0.11111,0.17375,0.14228,1.64844,4.03863,0.01615,0.000105785,0.000105785,0.000105785
13,20.4702,1.47666,4.84591,0.00917,0.95762,0.11111,0.15512,0.13048,1.63195,4.0871,0.01543,0.000112073,0.000112073,0.000112073
14,21.6682,1.42567,5.49819,0.01015,0.82994,0.11111,0.19325,0.16501,1.72998,3.92163,0.01658,0.000117895,0.000117895,0.000117895
15,22.9628,1.12624,4.79283,0.0081,0.94287,0.11111,0.20177,0.16677,1.58002,3.95817,0.01449,0.000123252,0.000123252,0.000123252
16,24.2317,1.23248,5.84933,0.01004,0.79911,0.20282,0.21805,0.18797,1.47394,3.95341,0.01341,0.000128143,0.000128143,0.000128143
17,25.4742,1.14916,4.36229,0.00861,0.9191,0.22222,0.331,0.28728,1.43303,3.7929,0.01436,0.000132568,0.000132568,0.000132568
18,26.7017,1.06215,3.9936,0.00756,0.87261,0.33333,0.38017,0.31892,1.40441,3.6521,0.01377,0.000136528,0.000136528,0.000136528
19,27.975,1.21079,4.44237,0.0086,0.88564,0.22222,0.42911,0.33996,1.40807,3.45081,0.01345,0.000140022,0.000140022,0.000140022
20,29.3061,1.08508,4.14078,0.00786,0.86802,0.22222,0.45162,0.32233,1.27529,3.41326,0.01164,0.00014305,0.00014305,0.00014305
21,30.6602,1.23485,4.22315,0.00821,0.83754,0.2381,0.46499,0.34948,1.3212,3.3689,0.0126,0.000145612,0.000145612,0.000145612
