epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.74796,1.86638,7.15342,0.01662,0.00387,0.31746,0.02676,0.01556,1.66153,5.5142,0.0172,1.176e-05,1.176e-05,1.176e-05
2,5.92156,2.14304,8.49508,0.01698,0.00352,0.31746,0.02464,0.0148,1.74083,5.30776,0.0181,2.88179e-05,2.88179e-05,2.88179e-05
3,7.02193,1.87643,8.99662,0.01607,0.00318,0.33333,0.0303,0.01679,1.70606,4.83473,0.01726,4.51772e-05,4.51772e-05,4.51772e-05
4,8.48877,1.72276,7.17608,0.01394,0.58906,0.12361,0.03487,0.0233,1.53317,4.48727,0.01476,6.0838e-05,6.0838e-05,6.0838e-05
5,10.055,1.70185,7.90295,0.01405,0.92564,0.05556,0.09072,0.0737,1.50189,4.37799,0.01445,7.58003e-05,7.58003e-05,7.58003e-05
6,11.6069,1.61223,7.45406,0.01334,0.98864,0.05556,0.14258,0.10158,1.32833,4.41442,0.01242,9.0064e-05,9.0064e-05,9.0064e-05
7,12.9898,1.42797,5.63496,0.00927,0.94145,0.11111,0.26167,0.20651,1.36458,4.23249,0.01318,0.000103629,0.000103629,0.000103629
8,14.3395,1.42359,6.12011,0.0105,0.8206,0.24526,0.25693,0.18863,1.27231,4.32027,0.01241,0.000116496,0.000116496,0.000116496
9,15.7227,1.30787,5.51714,0.00893,0.95992,0.11111,0.27604,0.20448,1.25167,4.07173,0.0122,0.000128664,0.000128664,0.000128664
10,16.9504,1.42422,5.51008,0.01031,0.98354,0.11111,0.21942,0.16158,1.2949,3.98497,0.01271,0.000140133,0.000140133,0.000140133
11,18.2675,1.23936,5.23736,0.00881,0.99108,0.11111,0.22986,0.18017,1.2719,3.8835,0.01187,0.000150904,0.000150904,0.000150904
12,19.7631,1.2491,5.34457,0.00932,0.99806,0.11111,0.23253,0.18926,1.29472,3.7585,0.01233,0.000160977,0.000160977,0.000160977
13,21.0768,1.28217,5.47756,0.00921,0.92363,0.14061,0.31611,0.25354,1.22841,3.63017,0.01114,0.000170351,0.000170351,0.000170351
14,22.5094,1.16409,4.67847,0.00824,0.91961,0.05556,0.36455,0.30008,1.16634,3.60171,0.0106,0.000179026,0.000179026,0.000179026
15,23.807,1.18402,4.59054,0.00765,0.91961,0.05556,0.36455,0.30008,1.16634,3.60171,0.0106,0.000187003,0.000187003,0.000187003
16,25.2383,1.27565,4.16656,0.00791,0.79594,0.33455,0.38989,0.30978,1.10424,3.45157,0.0098,0.000194281,0.000194281,0.000194281
17,26.8386,1.02089,4.5381,0.00814,0.80908,0.36813,0.35823,0.28172,1.17612,3.44418,0.01039,0.000200861,0.000200861,0.000200861
18,28.036,1.08791,4.15577,0.00805,0.80908,0.36813,0.35823,0.28172,1.17612,3.44418,0.01039,0.000206742,0.000206742,0.000206742
19,29.3088,1.25029,3.85179,0.0088,0.86812,0.2531,0.40503,0.32296,1.28277,3.37025,0.01244,0.000211925,0.000211925,0.000211925
20,30.7956,1.14489,3.56436,0.00752,0.9003,0.26984,0.43003,0.31427,1.44915,3.21932,0.01452,0.000216409,0.000216409,0.000216409
21,32.3698,1.17889,3.87213,0.01025,0.9003,0.26984,0.43003,0.31427,1.44915,3.21932,0.01452,0.000220194,0.000220194,0.000220194
22,33.8774,1.03605,3.33108,0.00664,0.85616,0.26565,0.44279,0.30272,1.43804,3.00743,0.01388,0.000223281,0.000223281,0.000223281
23,35.0851,1.07253,4.0585,0.0081,0.85616,0.26565,0.44279,0.30272,1.43804,3.00743,0.01388,0.00022567,0.00022567,0.00022567
24,36.4772,0.95518,3.28612,0.00671,0.77633,0.38698,0.45775,0.32287,1.32582,2.73707,0.01284,0.00022736,0.00022736,0.00022736
25,37.8669,1.06099,3.33974,0.00723,0.77633,0.38698,0.45775,0.32287,1.32582,2.73707,0.01284,0.000228351,0.000228351,0.000228351
26,39.3035,1.19329,3.32896,0.00701,0.91939,0.27444,0.53915,0.34027,1.18403,2.58668,0.01087,0.000228644,0.000228644,0.000228644
27,40.7886,1.14111,2.98196,0.00756,0.91939,0.27444,0.53915,0.34027,1.18403,2.58668,0.01087,0.000228238,0.000228238,0.000228238
28,42.4118,1.12688,3.59341,0.00864,0.9698,0.25397,0.51533,0.3644,1.28904,2.38771,0.01242,0.000227134,0.000227134,0.000227134
29,43.8696,1.01262,3.06385,0.00694,0.9698,0.25397,0.51533,0.3644,1.28904,2.38771,0.01242,0.000225331,0.000225331,0.000225331
30,45.4666,1.06676,2.68701,0.00768,0.9698,0.25397,0.51533,0.3644,1.28904,2.38771,0.01242,0.00022283,0.00022283,0.00022283
31,47.0017,1.18813,3.86988,0.00884,0.751,0.44985,0.533,0.37083,1.34229,2.14459,0.01331,0.00021963,0.00021963,0.00021963
32,48.4831,0.96316,3.12257,0.00728,0.751,0.44985,0.533,0.37083,1.34229,2.14459,0.01331,0.000215731,0.000215731,0.000215731
33,50.0291,1.07821,3.17467,0.00813,0.80759,0.48481,0.55488,0.38863,1.33261,2.12333,0.01305,0.000211134,0.000211134,0.000211134
34,51.5379,1.01897,2.96233,0.00805,0.80759,0.48481,0.55488,0.38863,1.33261,2.12333,0.01305,0.000203801,0.000203801,0.000203801
35,53.058,1.04,2.69458,0.00762,0.80759,0.48481,0.55488,0.38863,1.33261,2.12333,0.01305,0.000192158,0.000192158,0.000192158
36,54.6229,1.12922,2.65024,0.00913,0.88986,0.39683,0.57634,0.38644,1.38165,2.02309,0.0137,0.000180516,0.000180516,0.000180516
37,55.9989,0.99387,2.50277,0.00698,0.88986,0.39683,0.57634,0.38644,1.38165,2.02309,0.0137,0.000168874,0.000168874,0.000168874
38,57.3201,1.0554,2.82868,0.00752,0.88986,0.39683,0.57634,0.38644,1.38165,2.02309,0.0137,0.000157231,0.000157231,0.000157231
39,58.651,1.05321,2.84022,0.00816,0.69641,0.54497,0.61314,0.39229,1.38129,2.0185,0.01377,0.000145589,0.000145589,0.000145589
40,60.044,1.01188,2.79991,0.00704,0.69641,0.54497,0.61314,0.39229,1.38129,2.0185,0.01377,0.000133946,0.000133946,0.000133946
41,62.4516,1.11866,3.47576,0.0107,0.77298,0.48967,0.60837,0.40203,1.39982,1.92878,0.01418,0.000122304,0.000122304,0.000122304
42,64.1651,1.07426,3.41591,0.00964,0.77298,0.48967,0.60837,0.40203,1.39982,1.92878,0.01418,0.000110662,0.000110662,0.000110662
43,65.6784,0.95801,3.40104,0.0082,0.77298,0.48967,0.60837,0.40203,1.39982,1.92878,0.01418,9.90192e-05,9.90192e-05,9.90192e-05
44,67.3536,0.95072,3.11049,0.00819,0.8127,0.52109,0.67981,0.42431,1.36391,1.88735,0.01321,8.73768e-05,8.73768e-05,8.73768e-05
45,68.9356,0.92979,3.09206,0.00872,0.8127,0.52109,0.67981,0.42431,1.36391,1.88735,0.01321,7.57344e-05,7.57344e-05,7.57344e-05
46,70.4261,0.95709,3.42134,0.00943,0.8127,0.52109,0.67981,0.42431,1.36391,1.88735,0.01321,6.4092e-05,6.4092e-05,6.4092e-05
47,71.9844,1.02015,3.06545,0.00866,0.80465,0.52381,0.7105,0.44838,1.33303,1.88295,0.01278,5.24496e-05,5.24496e-05,5.24496e-05
48,73.462,1.09345,3.25605,0.0084,0.80465,0.52381,0.7105,0.44838,1.33303,1.88295,0.01278,4.08072e-05,4.08072e-05,4.08072e-05
49,75.0876,0.93093,3.11686,0.0077,0.68568,0.53064,0.71646,0.46159,1.32582,1.89377,0.01267,2.91648e-05,2.91648e-05,2.91648e-05
50,76.3737,0.89509,3.02734,0.00884,0.68568,0.53064,0.71646,0.46159,1.32582,1.89377,0.01267,1.75224e-05,1.75224e-05,1.75224e-05
