epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.66665,1.86638,7.15342,0.01662,0.00387,0.31746,0.02676,0.01556,1.66153,5.5142,0.0172,1.176e-05,1.176e-05,1.176e-05
2,5.89696,2.14304,8.49508,0.01698,0.00352,0.31746,0.02464,0.0148,1.74083,5.30776,0.0181,2.93418e-05,2.93418e-05,2.93418e-05
3,6.92717,1.86642,8.98345,0.016,0.00319,0.33333,0.03082,0.01667,1.76414,4.80391,0.01816,4.68537e-05,4.68537e-05,4.68537e-05
4,8.31392,1.74711,7.22575,0.01412,0.0143,0.31746,0.04519,0.02551,1.65129,4.43665,0.01647,6.42958e-05,6.42958e-05,6.42958e-05
5,9.80661,1.63823,7.80722,0.01289,0.61059,0.12698,0.0732,0.04586,1.57035,4.30195,0.0156,8.1668e-05,8.1668e-05,8.1668e-05
6,11.1743,1.54163,7.49733,0.0127,0.99849,0.11111,0.24588,0.20935,1.2598,4.12615,0.0119,9.89704e-05,9.89704e-05,9.89704e-05
7,12.4256,1.43856,5.66919,0.00914,0.9952,0.11111,0.18174,0.14263,1.27495,4.07357,0.0118,0.000116203,0.000116203,0.000116203
8,13.6787,1.39832,6.2102,0.01018,1,0.10852,0.21331,0.1602,1.22142,4.07505,0.01105,0.000133366,0.000133366,0.000133366
9,14.9981,1.35738,5.4515,0.0093,1,0.10556,0.30297,0.24606,1.16219,4.10323,0.01081,0.000150458,0.000150458,0.000150458
10,16.3274,1.37258,5.51736,0.00949,0.98977,0.11111,0.23715,0.19091,1.25387,3.94078,0.01208,0.000167481,0.000167481,0.000167481
11,17.6636,1.32152,5.30761,0.00968,0.99667,0.11111,0.29182,0.23765,1.33668,3.87916,0.01219,0.000184434,0.000184434,0.000184434
12,18.9797,1.26105,5.09238,0.00896,0.87261,0.24388,0.37428,0.29432,1.33012,3.96841,0.01258,0.000201318,0.000201318,0.000201318
13,20.4089,1.34662,5.30765,0.00886,0.95464,0.21389,0.3557,0.26988,1.30243,3.77167,0.01229,0.000218131,0.000218131,0.000218131
14,21.7245,1.11646,4.54075,0.00806,0.87142,0.2156,0.42104,0.32107,1.2659,3.6038,0.01165,0.000234875,0.000234875,0.000234875
15,22.948,1.13259,4.32493,0.00759,0.87142,0.2156,0.42104,0.32107,1.2659,3.6038,0.01165,0.000251548,0.000251548,0.000251548
16,24.2367,1.19698,3.89548,0.00755,0.83872,0.33333,0.39196,0.31042,1.24543,3.38439,0.01106,0.000268152,0.000268152,0.000268152
17,25.526,1.0592,4.20651,0.0086,0.823,0.33333,0.46062,0.32589,1.21515,3.2736,0.01124,0.000284686,0.000284686,0.000284686
18,27.1991,1.12128,3.87984,0.00857,0.823,0.33333,0.46062,0.32589,1.21515,3.2736,0.01124,0.00030115,0.00030115,0.00030115
19,28.4601,1.18795,3.6155,0.00838,0.86896,0.33333,0.4764,0.30482,1.27578,3.10135,0.01137,0.000317544,0.000317544,0.000317544
