epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51927,2.01706,11.1685,0.01934,0.25729,0.2366,0.0296,0.01621,1.59582,5.30962,0.01656,2.352e-05,2.352e-05,2.352e-05
2,7.5144,1.78751,10.2995,0.01627,0.34544,0.22222,0.02759,0.01715,1.42108,5.19219,0.01301,5.18722e-05,5.18722e-05,5.18722e-05
3,9.81664,1.74313,7.90326,0.01828,0.80337,0.11111,0.0378,0.03079,1.40256,4.88764,0.0132,7.90601e-05,7.90601e-05,7.90601e-05
