epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82518,2.06182,11.4568,0.01971,0,0,0,0,1.44928,3.74446,0.01335,2.352e-05,2.352e-05,2.352e-05
2,4.82948,2.20836,13.6303,0.02346,0.00258,0.11111,0.05528,0.03867,1.42156,3.74832,0.01353,5.23961e-05,5.23961e-05,5.23961e-05
3,5.77124,1.89966,12.2691,0.01802,0.00119,0.11111,0.01955,0.01675,1.35414,3.74984,0.01265,8.06901e-05,8.06901e-05,8.06901e-05
4,6.81009,1.74816,12.9993,0.01685,0.00025,0.11111,0.01197,0.00969,1.33913,3.74438,0.0124,0.000108402,0.000108402,0.000108402
5,7.74342,1.95158,11.8965,0.01798,0.00018,0.11111,0.0376,0.03029,1.30953,3.74275,0.01199,0.000135532,0.000135532,0.000135532
6,8.68087,1.60966,11.1248,0.01232,0.01489,0.2381,0.07318,0.05629,1.24666,3.73817,0.01079,0.000162079,0.000162079,0.000162079
7,9.73402,1.35474,12.3076,0.01292,0.0052,0.2381,0.05118,0.04238,1.18376,3.75564,0.01021,0.000188045,0.000188045,0.000188045
8,10.6193,1.32759,11.4404,0.00988,0.0052,0.2381,0.05118,0.04238,1.18376,3.75564,0.01021,0.000213428,0.000213428,0.000213428
9,11.5539,1.43248,9.73554,0.01026,0.00673,0.3254,0.07071,0.05703,1.09391,3.74817,0.00903,0.000238229,0.000238229,0.000238229
10,12.493,1.32005,8.82259,0.00994,0.00373,0.3254,0.07555,0.05331,1.04752,3.73979,0.00883,0.000262449,0.000262449,0.000262449
11,13.4722,1.34978,9.72212,0.01051,0.00373,0.3254,0.07555,0.05331,1.04752,3.73979,0.00883,0.000286086,0.000286086,0.000286086
12,14.3934,1.51509,12.1606,0.01126,0.00406,0.42857,0.14348,0.06637,1.02796,3.71557,0.00873,0.00030914,0.00030914,0.00030914
13,15.317,1.28095,11.2524,0.00968,0.00406,0.42857,0.14348,0.06637,1.02796,3.71557,0.00873,0.000331613,0.000331613,0.000331613
14,16.2657,1.10819,9.15345,0.00829,0.00406,0.42857,0.14348,0.06637,1.02796,3.71557,0.00873,0.000353504,0.000353504,0.000353504
15,17.2364,1.19992,9.92641,0.00861,0.00435,0.47222,0.16635,0.12294,1.01305,3.63864,0.00914,0.000374812,0.000374812,0.000374812
16,18.1751,1.23816,10.1182,0.00849,0.00435,0.47222,0.16635,0.12294,1.01305,3.63864,0.00914,0.000395539,0.000395539,0.000395539
17,19.146,1.15562,9.46197,0.00853,0.00435,0.47222,0.16635,0.12294,1.01305,3.63864,0.00914,0.000415683,0.000415683,0.000415683
18,20.1252,1.11397,9.0193,0.00944,0.004,0.50926,0.2575,0.14711,1.25757,3.48995,0.01194,0.000435245,0.000435245,0.000435245
19,21.0277,1.05627,9.5595,0.00863,0.004,0.50926,0.2575,0.14711,1.25757,3.48995,0.01194,0.000454225,0.000454225,0.000454225
20,21.9863,1.0962,9.24877,0.00842,0.004,0.50926,0.2575,0.14711,1.25757,3.48995,0.01194,0.000472623,0.000472623,0.000472623
21,22.9664,1.17519,9.79169,0.0085,0.00416,0.55556,0.27156,0.20727,1.1633,3.44902,0.01036,0.000471576,0.000471576,0.000471576
22,23.9018,1.09381,9.08139,0.00869,0.00416,0.55556,0.27156,0.20727,1.1633,3.44902,0.01036,0.000465755,0.000465755,0.000465755
23,25.0112,1.1458,9.1886,0.00869,0.00416,0.55556,0.27156,0.20727,1.1633,3.44902,0.01036,0.000459934,0.000459934,0.000459934
24,25.9898,0.95675,10.5325,0.00766,0.00409,0.5463,0.26179,0.21068,1.19531,3.32272,0.01114,0.000454112,0.000454112,0.000454112
25,26.9629,1.08211,8.02102,0.00668,0.00409,0.5463,0.26179,0.21068,1.19531,3.32272,0.01114,0.000448291,0.000448291,0.000448291
26,27.8625,1.00845,9.05499,0.00722,0.00409,0.5463,0.26179,0.21068,1.19531,3.32272,0.01114,0.00044247,0.00044247,0.00044247
27,28.8013,1.11172,10.2572,0.00824,0.90625,0.16253,0.3168,0.25736,1.16027,3.2772,0.01126,0.000436649,0.000436649,0.000436649
28,29.7706,0.9568,8.10254,0.00696,0.90625,0.16253,0.3168,0.25736,1.16027,3.2772,0.01126,0.000430828,0.000430828,0.000430828
29,30.6789,1.08493,9.22458,0.00645,0.90625,0.16253,0.3168,0.25736,1.16027,3.2772,0.01126,0.000425006,0.000425006,0.000425006
30,31.6659,1.02592,9.73443,0.00869,0.8941,0.18435,0.31523,0.26824,1.21456,3.24115,0.01177,0.000419185,0.000419185,0.000419185
31,32.6032,1.0888,8.26628,0.00732,0.8941,0.18435,0.31523,0.26824,1.21456,3.24115,0.01177,0.000413364,0.000413364,0.000413364
32,33.5034,1.04739,9.98574,0.00797,0.8941,0.18435,0.31523,0.26824,1.21456,3.24115,0.01177,0.000407543,0.000407543,0.000407543
33,34.4565,1.05185,9.0796,0.00836,0.8941,0.18435,0.31523,0.26824,1.21456,3.24115,0.01177,0.000401722,0.000401722,0.000401722
34,35.4638,1.05215,9.58677,0.00827,0.89981,0.22222,0.33621,0.2817,1.1694,3.33673,0.01142,0.0003959,0.0003959,0.0003959
35,36.3635,0.94075,8.44773,0.00751,0.89981,0.22222,0.33621,0.2817,1.1694,3.33673,0.01142,0.000390079,0.000390079,0.000390079
36,37.3027,0.90226,9.62315,0.00766,0.89981,0.22222,0.33621,0.2817,1.1694,3.33673,0.01142,0.000384258,0.000384258,0.000384258
37,38.2159,1.22173,10.0229,0.00769,0.84327,0.22222,0.34183,0.27543,1.03892,3.46018,0.00969,0.000378437,0.000378437,0.000378437
38,39.1703,0.96048,7.42212,0.00628,0.84327,0.22222,0.34183,0.27543,1.03892,3.46018,0.00969,0.000372616,0.000372616,0.000372616
39,40.1406,1.07359,8.43711,0.00888,0.84327,0.22222,0.34183,0.27543,1.03892,3.46018,0.00969,0.000366794,0.000366794,0.000366794
40,41.1135,1.03737,10.7591,0.00738,0.83607,0.22222,0.32156,0.25543,1.08696,3.40927,0.01066,0.000360973,0.000360973,0.000360973
41,42.0464,1.07846,9.03152,0.00799,0.83607,0.22222,0.32156,0.25543,1.08696,3.40927,0.01066,0.000355152,0.000355152,0.000355152
42,42.9618,1.0282,8.80868,0.00805,0.83607,0.22222,0.32156,0.25543,1.08696,3.40927,0.01066,0.000349331,0.000349331,0.000349331
43,43.8345,1.0524,8.47469,0.00787,0.76068,0.33333,0.41106,0.29273,0.87574,3.30931,0.00769,0.00034351,0.00034351,0.00034351
44,44.7843,1.11111,8.57431,0.00853,0.76068,0.33333,0.41106,0.29273,0.87574,3.30931,0.00769,0.000337688,0.000337688,0.000337688
45,45.7357,0.93528,9.39297,0.00772,0.76068,0.33333,0.41106,0.29273,0.87574,3.30931,0.00769,0.000331867,0.000331867,0.000331867
46,46.7435,1.00334,8.45187,0.00687,0.75091,0.3097,0.43093,0.33157,0.95113,3.02211,0.00876,0.000326046,0.000326046,0.000326046
47,47.6559,0.9978,8.78084,0.00735,0.75091,0.3097,0.43093,0.33157,0.95113,3.02211,0.00876,0.000320225,0.000320225,0.000320225
48,48.543,0.929,8.80481,0.0062,0.75091,0.3097,0.43093,0.33157,0.95113,3.02211,0.00876,0.000314404,0.000314404,0.000314404
49,49.4929,0.94327,7.55885,0.00684,0.75091,0.3097,0.43093,0.33157,0.95113,3.02211,0.00876,0.000308582,0.000308582,0.000308582
50,50.4409,0.9486,7.34556,0.00767,0.77271,0.27778,0.44003,0.34921,0.95893,2.81557,0.00906,0.000302761,0.000302761,0.000302761
51,51.3601,0.95682,7.96401,0.00621,0.77271,0.27778,0.44003,0.34921,0.95893,2.81557,0.00906,0.00029694,0.00029694,0.00029694
52,52.3396,0.98527,9.94984,0.00894,0.77271,0.27778,0.44003,0.34921,0.95893,2.81557,0.00906,0.000291119,0.000291119,0.000291119
53,53.3005,0.93265,7.87206,0.00673,0.89176,0.22222,0.47619,0.36066,1.02131,2.60909,0.00936,0.000285298,0.000285298,0.000285298
54,54.2584,1.00381,9.22593,0.00778,0.89176,0.22222,0.47619,0.36066,1.02131,2.60909,0.00936,0.000279476,0.000279476,0.000279476
55,55.3551,1.03502,9.33295,0.00857,0.89176,0.22222,0.47619,0.36066,1.02131,2.60909,0.00936,0.000273655,0.000273655,0.000273655
56,56.3072,0.89393,8.18572,0.00674,0.77798,0.36975,0.51957,0.37194,1.04355,2.53846,0.00937,0.000267834,0.000267834,0.000267834
57,57.2481,1.02806,7.06644,0.00707,0.77798,0.36975,0.51957,0.37194,1.04355,2.53846,0.00937,0.000262013,0.000262013,0.000262013
58,58.3656,1.0548,8.40025,0.00861,0.77798,0.36975,0.51957,0.37194,1.04355,2.53846,0.00937,0.000256192,0.000256192,0.000256192
59,59.3232,0.94313,7.98385,0.0073,0.73644,0.4085,0.52639,0.39081,1.07751,2.48378,0.00983,0.00025037,0.00025037,0.00025037
60,60.2656,1.00378,8.80057,0.0078,0.73644,0.4085,0.52639,0.39081,1.07751,2.48378,0.00983,0.000244549,0.000244549,0.000244549
61,61.2328,0.99511,7.27893,0.00687,0.73644,0.4085,0.52639,0.39081,1.07751,2.48378,0.00983,0.000238728,0.000238728,0.000238728
62,62.1983,0.87531,8.56043,0.0075,0.73596,0.45036,0.54976,0.41713,1.11237,2.39684,0.01002,0.000232907,0.000232907,0.000232907
63,63.204,1.00922,7.43999,0.00688,0.73596,0.45036,0.54976,0.41713,1.11237,2.39684,0.01002,0.000227086,0.000227086,0.000227086
64,64.1276,0.91157,7.6019,0.00628,0.73596,0.45036,0.54976,0.41713,1.11237,2.39684,0.01002,0.000221264,0.000221264,0.000221264
65,65.0812,0.87525,7.76842,0.00604,0.73596,0.45036,0.54976,0.41713,1.11237,2.39684,0.01002,0.000215443,0.000215443,0.000215443
66,66.0537,1.00272,8.22261,0.00687,0.67737,0.44966,0.56826,0.4347,1.02761,2.42499,0.00927,0.000209622,0.000209622,0.000209622
67,67.0199,0.95013,7.68188,0.00625,0.67737,0.44966,0.56826,0.4347,1.02761,2.42499,0.00927,0.000203801,0.000203801,0.000203801
68,67.931,0.99659,9.36834,0.0069,0.67737,0.44966,0.56826,0.4347,1.02761,2.42499,0.00927,0.00019798,0.00019798,0.00019798
69,68.9262,0.98433,9.27345,0.00715,0.74061,0.40658,0.53107,0.41442,1.01947,2.37975,0.00925,0.000192158,0.000192158,0.000192158
70,69.8661,0.86703,8.18867,0.0062,0.74061,0.40658,0.53107,0.41442,1.01947,2.37975,0.00925,0.000186337,0.000186337,0.000186337
71,70.8151,0.98098,8.24395,0.00659,0.74061,0.40658,0.53107,0.41442,1.01947,2.37975,0.00925,0.000180516,0.000180516,0.000180516
72,71.8519,0.79111,7.92803,0.00699,0.68289,0.4313,0.5289,0.41477,1.05647,2.30499,0.00953,0.000174695,0.000174695,0.000174695
73,72.7681,0.9867,6.8383,0.00619,0.68289,0.4313,0.5289,0.41477,1.05647,2.30499,0.00953,0.000168874,0.000168874,0.000168874
74,73.6735,0.93647,9.64447,0.00732,0.68289,0.4313,0.5289,0.41477,1.05647,2.30499,0.00953,0.000163052,0.000163052,0.000163052
75,74.7626,0.99467,6.3581,0.00633,0.6634,0.42593,0.52981,0.40866,1.01774,2.28751,0.00882,0.000157231,0.000157231,0.000157231
76,75.6823,1.08002,7.63366,0.00698,0.6634,0.42593,0.52981,0.40866,1.01774,2.28751,0.00882,0.00015141,0.00015141,0.00015141
77,76.604,0.96368,8.07391,0.00751,0.6634,0.42593,0.52981,0.40866,1.01774,2.28751,0.00882,0.000145589,0.000145589,0.000145589
78,77.5267,0.85876,7.40935,0.00801,0.92363,0.18329,0.52795,0.40835,1.0025,2.24899,0.00859,0.000139768,0.000139768,0.000139768
79,78.4665,0.90428,6.58183,0.00629,0.92363,0.18329,0.52795,0.40835,1.0025,2.24899,0.00859,0.000133946,0.000133946,0.000133946
80,79.4007,0.98608,8.91035,0.00734,0.92363,0.18329,0.52795,0.40835,1.0025,2.24899,0.00859,0.000128125,0.000128125,0.000128125
81,80.4467,0.96177,8.18824,0.00677,0.92363,0.18329,0.52795,0.40835,1.0025,2.24899,0.00859,0.000122304,0.000122304,0.000122304
82,81.3774,0.9106,6.45098,0.00538,0.68386,0.35185,0.52366,0.40866,1.0031,2.1907,0.00866,0.000116483,0.000116483,0.000116483
83,82.3069,0.85748,7.41349,0.00567,0.68386,0.35185,0.52366,0.40866,1.0031,2.1907,0.00866,0.000110662,0.000110662,0.000110662
84,83.2196,1.16245,17.5012,0.00943,0.68386,0.35185,0.52366,0.40866,1.0031,2.1907,0.00866,0.00010484,0.00010484,0.00010484
85,84.13,0.9,7.40506,0.00598,0.67971,0.35185,0.5022,0.3886,0.97942,2.16694,0.00857,9.90192e-05,9.90192e-05,9.90192e-05
86,85.0673,0.96389,6.87051,0.0071,0.67971,0.35185,0.5022,0.3886,0.97942,2.16694,0.00857,9.3198e-05,9.3198e-05,9.3198e-05
87,86.0664,0.86442,8.1354,0.00675,0.67971,0.35185,0.5022,0.3886,0.97942,2.16694,0.00857,8.73768e-05,8.73768e-05,8.73768e-05
88,86.9924,0.93471,6.39588,0.00615,0.73874,0.40347,0.51757,0.40437,0.95716,2.16312,0.00846,8.15556e-05,8.15556e-05,8.15556e-05
89,87.9604,1.08673,6.7343,0.00675,0.73874,0.40347,0.51757,0.40437,0.95716,2.16312,0.00846,7.57344e-05,7.57344e-05,7.57344e-05
90,88.8713,0.85889,6.95941,0.00632,0.73874,0.40347,0.51757,0.40437,0.95716,2.16312,0.00846,6.99132e-05,6.99132e-05,6.99132e-05
91,90.7656,0.85625,10.9525,0.00683,0.71892,0.40741,0.54575,0.41415,0.95873,2.15467,0.0084,6.4092e-05,6.4092e-05,6.4092e-05
92,91.8693,0.8347,10.4618,0.00722,0.71892,0.40741,0.54575,0.41415,0.95873,2.15467,0.0084,5.82708e-05,5.82708e-05,5.82708e-05
93,92.9765,0.95793,10.8894,0.00713,0.71892,0.40741,0.54575,0.41415,0.95873,2.15467,0.0084,5.24496e-05,5.24496e-05,5.24496e-05
94,93.9194,0.86864,10.446,0.00679,0.75443,0.37245,0.52548,0.41479,0.95192,2.17524,0.00819,4.66284e-05,4.66284e-05,4.66284e-05
95,94.8418,0.94838,10.9594,0.00732,0.75443,0.37245,0.52548,0.41479,0.95192,2.17524,0.00819,4.08072e-05,4.08072e-05,4.08072e-05
96,95.7435,0.88705,10.7909,0.00754,0.75443,0.37245,0.52548,0.41479,0.95192,2.17524,0.00819,3.4986e-05,3.4986e-05,3.4986e-05
97,96.6903,0.91063,11.3469,0.00835,0.75443,0.37245,0.52548,0.41479,0.95192,2.17524,0.00819,2.91648e-05,2.91648e-05,2.91648e-05
98,97.6699,0.8377,10.5457,0.00689,0.75893,0.36912,0.53287,0.42311,0.96349,2.21065,0.00823,2.33436e-05,2.33436e-05,2.33436e-05
99,98.7524,0.9319,10.7877,0.00805,0.75893,0.36912,0.53287,0.42311,0.96349,2.21065,0.00823,1.75224e-05,1.75224e-05,1.75224e-05
100,99.6616,0.87545,10.7504,0.007,0.75893,0.36912,0.53287,0.42311,0.96349,2.21065,0.00823,1.17012e-05,1.17012e-05,1.17012e-05
