epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.43844,2.23632,8.95175,0.02079,0.00397,0.31746,0.02569,0.01437,1.6298,5.4892,0.01705,1.176e-05,1.176e-05,1.176e-05
2,6.8383,2.27173,7.06658,0.01716,0.00379,0.33333,0.02844,0.01509,1.65233,5.39124,0.01717,2.79447e-05,2.79447e-05,2.79447e-05
3,8.33964,1.85606,7.90151,0.01544,0.26295,0.26984,0.03971,0.0217,1.68863,4.95927,0.01732,4.2383e-05,4.2383e-05,4.2383e-05
4,9.66709,1.8483,7.29998,0.01585,0.7055,0.12207,0.05299,0.02831,1.58678,4.80753,0.01569,5.5075e-05,5.5075e-05,5.5075e-05
5,11.2461,1.69389,7.40536,0.01379,0.73444,0.14286,0.06786,0.04028,1.56424,4.72533,0.01503,6.60206e-05,6.60206e-05,6.60206e-05
6,12.7914,1.79435,6.67649,0.01505,0.743,0.15873,0.10389,0.06152,1.44008,4.47462,0.0139,7.52199e-05,7.52199e-05,7.52199e-05
7,14.288,1.27755,5.14446,0.00844,0.75112,0.25397,0.10311,0.05845,1.50053,4.40166,0.01459,8.26728e-05,8.26728e-05,8.26728e-05
8,15.673,1.36023,5.32148,0.01025,0.76373,0.26984,0.14162,0.10255,1.38877,4.19951,0.01318,8.83793e-05,8.83793e-05,8.83793e-05
9,17.011,1.27622,6.01959,0.00964,0.7959,0.15422,0.14466,0.11178,1.17233,4.28645,0.01122,9.23395e-05,9.23395e-05,9.23395e-05
10,18.4412,1.75572,5.77689,0.01573,0.77673,0.14286,0.12658,0.0997,1.12142,4.20772,0.01045,9.45533e-05,9.45533e-05,9.45533e-05
11,20.7076,1.17537,7.15166,0.01217,0.96032,0.10317,0.14693,0.11414,1.22093,4.13317,0.01131,9.50208e-05,9.50208e-05,9.50208e-05
12,22.2202,1.27365,6.95904,0.0119,0.95941,0.11111,0.15454,0.1202,1.29244,4.08972,0.01208,9.37419e-05,9.37419e-05,9.37419e-05
13,23.4978,1.15993,6.73487,0.00922,0.99139,0.05556,0.1603,0.12714,1.36744,4.02511,0.01334,9.07166e-05,9.07166e-05,9.07166e-05
14,24.7906,1.13154,7.58756,0.01031,0.69505,0.13156,0.19773,0.15909,1.39787,3.93829,0.01362,8.5945e-05,8.5945e-05,8.5945e-05
15,26.3352,1.27942,6.96973,0.01416,1,0.10524,0.2031,0.17003,1.2885,3.92246,0.01222,7.9427e-05,7.9427e-05,7.9427e-05
16,27.7854,1.49818,6.95103,0.00991,0.99912,0.11111,0.21182,0.1778,1.30497,3.82271,0.01218,7.11627e-05,7.11627e-05,7.11627e-05
17,29.4092,1.35571,6.64681,0.01086,0.77973,0.2381,0.29283,0.25426,1.34141,3.73611,0.01202,6.1152e-05,6.1152e-05,6.1152e-05
18,30.7835,1.24562,6.44564,0.01133,0.7242,0.2381,0.29203,0.24786,1.31849,3.72329,0.01181,4.93949e-05,4.93949e-05,4.93949e-05
19,31.9353,1.21371,6.05947,0.00941,0.7242,0.2381,0.29203,0.24786,1.31849,3.72329,0.01181,3.58915e-05,3.58915e-05,3.58915e-05
20,33.2166,1.05243,6.69598,0.00978,0.75185,0.2518,0.30754,0.25868,1.31616,3.67473,0.01215,2.06417e-05,2.06417e-05,2.06417e-05
