epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.55495,2.21183,21.6687,0.0235,0.0229,0.11111,0.06128,0.05472,1.80304,12.9804,0.01825,5.292e-05,5.292e-05,5.292e-05
2,4.70702,2.26561,25.3721,0.02196,0.02095,0.16667,0.02076,0.01642,1.89302,15.2663,0.01908,0.000110614,0.000110614,0.000110614
3,5.72901,2.13288,18.7033,0.01897,0.01652,0.11111,0.01374,0.0091,1.86742,16.8283,0.01872,0.000167144,0.000167144,0.000167144
4,6.65933,2.29034,26.8861,0.02359,0.33785,0.11111,0.00503,0.00114,2.01291,18.4503,0.0209,0.000222509,0.000222509,0.000222509
5,7.58947,2.49676,22.9156,0.02539,0.33785,0.11111,0.00503,0.00114,2.01291,18.4503,0.0209,0.00027671,0.00027671,0.00027671
6,8.56037,1.86849,17.5413,0.01542,0.03063,0.30556,0.05843,0.03403,1.35075,14.6708,0.0126,0.000329747,0.000329747,0.000329747
7,9.70973,1.55034,15.3941,0.01348,0.03063,0.30556,0.05843,0.03403,1.35075,14.6708,0.0126,0.00038162,0.00038162,0.00038162
8,10.8631,1.59979,13.2707,0.01227,0.0284,0.15476,0.01765,0.00725,1.62374,14.3954,0.0167,0.000432329,0.000432329,0.000432329
9,12.0305,1.68637,10.3637,0.01227,0.0284,0.15476,0.01765,0.00725,1.62374,14.3954,0.0167,0.000481873,0.000481873,0.000481873
10,13.1741,1.55504,12.0234,0.01212,0.0284,0.15476,0.01765,0.00725,1.62374,14.3954,0.0167,0.000530253,0.000530253,0.000530253
11,14.3073,1.40742,10.3702,0.01157,0.0284,0.15476,0.01765,0.00725,1.62374,14.3954,0.0167,0.000529788,0.000529788,0.000529788
12,15.6293,1.42027,10.0312,0.01054,0.47703,0.1034,0.15795,0.09949,1.56439,9.88119,0.01526,0.000523967,0.000523967,0.000523967
13,16.9512,1.42061,10.5492,0.01314,0.47703,0.1034,0.15795,0.09949,1.56439,9.88119,0.01526,0.000518146,0.000518146,0.000518146
