epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.26144,1.67243,6.1307,0.01417,0.05556,0.05556,0.06917,0.05533,2.00014,4.18849,0.01913,1.176e-05,1.176e-05,1.176e-05
2,5.77891,1.94446,6.98868,0.01469,0.00741,0.05556,0.05689,0.04551,1.89926,4.19077,0.018,2.35788e-05,2.35788e-05,2.35788e-05
3,6.59762,1.81099,7.48664,0.01537,0.00494,0.11111,0.05897,0.04684,1.84773,4.18711,0.0172,2.84122e-05,2.84122e-05,2.84122e-05
4,7.95149,1.73932,6.40855,0.01466,0.00141,0.11111,0.05944,0.04752,1.86173,4.18058,0.01814,2.62601e-05,2.62601e-05,2.62601e-05
5,8.97044,1.88134,7.00821,0.01561,0.00084,0.11111,0.06056,0.04829,1.93062,4.14692,0.01899,1.71226e-05,1.71226e-05,1.71226e-05
