epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70472,2.07362,9.70564,0.02036,0.02778,0.05556,0.06208,0.04142,1.65879,3.75096,0.01741,2.352e-05,2.352e-05,2.352e-05
2,4.65267,2.00977,11.0236,0.0199,0.00255,0.11111,0.05718,0.03474,1.52507,3.74984,0.01464,5.2658e-05,5.2658e-05,5.2658e-05
3,5.58846,1.81577,10.3206,0.0167,0.00087,0.11111,0.05652,0.04086,1.55253,3.74839,0.01503,8.1505e-05,8.1505e-05,8.1505e-05
4,6.40411,1.7602,11.2182,0.01679,0.00023,0.11111,0.0217,0.01761,1.45296,3.75745,0.01437,0.000110061,0.000110061,0.000110061
5,7.25811,1.85374,9.90611,0.01706,0.00095,0.22222,0.0389,0.03317,1.29,3.75281,0.01229,0.000138326,0.000138326,0.000138326
6,8.03983,1.5474,9.60121,0.01167,0.00157,0.27778,0.11428,0.09677,1.28914,3.74618,0.01215,0.0001663,0.0001663,0.0001663
7,8.85636,1.4206,10.504,0.01328,0.0018,0.27778,0.09732,0.08085,1.19615,3.81184,0.0107,0.000193982,0.000193982,0.000193982
8,9.63146,1.45773,9.97445,0.00974,0.0018,0.27778,0.09732,0.08085,1.19615,3.81184,0.0107,0.000221374,0.000221374,0.000221374
9,10.5268,1.37988,8.5116,0.00977,0.01612,0.29365,0.10833,0.09573,1.11436,3.80653,0.00985,0.000248475,0.000248475,0.000248475
10,11.3234,1.44249,7.83913,0.01088,0.01002,0.34127,0.15845,0.13663,1.1163,3.78599,0.01035,0.000275284,0.000275284,0.000275284
11,12.1965,1.30709,8.46841,0.00963,0.01002,0.34127,0.15845,0.13663,1.1163,3.78599,0.01035,0.000301803,0.000301803,0.000301803
12,13.1369,1.47072,10.2701,0.01146,0.00427,0.39683,0.23374,0.22192,1.04408,3.75173,0.00955,0.00032803,0.00032803,0.00032803
13,14.0127,1.17336,9.49726,0.00863,0.00427,0.39683,0.23374,0.22192,1.04408,3.75173,0.00955,0.000353967,0.000353967,0.000353967
14,14.8149,1.12707,7.92573,0.00824,0.00427,0.39683,0.23374,0.22192,1.04408,3.75173,0.00955,0.000379612,0.000379612,0.000379612
15,15.809,1.19011,8.43506,0.00862,0.00332,0.44444,0.15749,0.12765,0.95287,3.59362,0.00832,0.000404966,0.000404966,0.000404966
16,16.7102,1.29397,8.73329,0.00893,0.00332,0.44444,0.15749,0.12765,0.95287,3.59362,0.00832,0.000430029,0.000430029,0.000430029
17,17.6348,1.20897,8.21073,0.00877,0.00332,0.44444,0.15749,0.12765,0.95287,3.59362,0.00832,0.000454802,0.000454802,0.000454802
18,18.5024,1.13824,7.90902,0.00948,0.00278,0.44444,0.19544,0.11681,0.95877,3.66372,0.00879,0.000479283,0.000479283,0.000479283
19,19.3935,1.11644,8.23153,0.00908,0.00278,0.44444,0.19544,0.11681,0.95877,3.66372,0.00879,0.000503473,0.000503473,0.000503473
20,20.1985,1.13388,8.00518,0.00866,0.00278,0.44444,0.19544,0.11681,0.95877,3.66372,0.00879,0.000527372,0.000527372,0.000527372
21,21.0993,1.23909,8.33101,0.00825,0.00282,0.44444,0.23416,0.18398,1.00895,3.56549,0.00981,0.000529788,0.000529788,0.000529788
22,21.8477,1.12867,7.85923,0.00881,0.00282,0.44444,0.23416,0.18398,1.00895,3.56549,0.00981,0.000526877,0.000526877,0.000526877
23,22.7471,1.14058,7.9242,0.00868,0.00282,0.44444,0.23416,0.18398,1.00895,3.56549,0.00981,0.000523967,0.000523967,0.000523967
24,23.5707,1.13136,8.95847,0.00969,0.81709,0.22222,0.28634,0.24147,1.06649,3.2557,0.01046,0.000521056,0.000521056,0.000521056
25,24.3681,1.12635,6.99204,0.00693,0.81709,0.22222,0.28634,0.24147,1.06649,3.2557,0.01046,0.000518146,0.000518146,0.000518146
26,25.1613,1.08162,7.75551,0.00829,0.81709,0.22222,0.28634,0.24147,1.06649,3.2557,0.01046,0.000515235,0.000515235,0.000515235
27,26.0851,1.06667,8.57124,0.00782,0.86617,0.27778,0.33398,0.27709,1.09178,3.11571,0.01034,0.000512324,0.000512324,0.000512324
28,26.8906,0.992,6.93847,0.00707,0.86617,0.27778,0.33398,0.27709,1.09178,3.11571,0.01034,0.000509414,0.000509414,0.000509414
29,27.8065,1.20211,7.85402,0.00732,0.86617,0.27778,0.33398,0.27709,1.09178,3.11571,0.01034,0.000506503,0.000506503,0.000506503
30,28.741,1.01888,8.20137,0.00841,0.90248,0.33333,0.39959,0.3055,1.02013,3.2915,0.00967,0.000503593,0.000503593,0.000503593
31,29.5475,1.10384,7.0383,0.00732,0.90248,0.33333,0.39959,0.3055,1.02013,3.2915,0.00967,0.000500682,0.000500682,0.000500682
32,30.4571,1.08999,8.38253,0.00857,0.90248,0.33333,0.39959,0.3055,1.02013,3.2915,0.00967,0.000497771,0.000497771,0.000497771
33,31.2568,1.07323,7.61492,0.00821,0.90248,0.33333,0.39959,0.3055,1.02013,3.2915,0.00967,0.000494861,0.000494861,0.000494861
34,32.2162,1.08472,7.97458,0.00918,0.84975,0.33333,0.49433,0.32683,0.93131,3.53853,0.00882,0.00049195,0.00049195,0.00049195
35,33.1278,1.03524,7.14992,0.00854,0.84975,0.33333,0.49433,0.32683,0.93131,3.53853,0.00882,0.00048904,0.00048904,0.00048904
36,33.9296,0.94648,8.08878,0.00771,0.84975,0.33333,0.49433,0.32683,0.93131,3.53853,0.00882,0.000486129,0.000486129,0.000486129
